ID,Host Name,Collection Date,Individual Sandwiches,Group Sandwiches,Group Collections Detail,Total Sandwiches,Submitted At,Created By
3464,"Groups","2025-10-05",0,300,"Emory Sorority and Fraternity Life event: 300",300,"10/8/2025, 12:01:32 AM","Christine Cooper Nowicki"
3465,"Groups","2025-10-05",0,1000,"Compassion in Action Project: 1000",1000,"10/8/2025, 12:02:38 AM","Christine Cooper Nowicki"
3463,"UGA","2025-10-05",0,300,"The Compassion in Action Project: 300",300,"10/6/2025, 4:42:32 PM","Anna Baylin"
3461,"Groups","2025-10-04",0,163,"NCL North East Atlanta 7th graders: 163",163,"10/4/2025, 12:43:02 PM","Christine Cooper Nowicki"
3455,"Dunwoody/PTC","2025-10-02",668,0,"",668,"10/2/2025, 11:02:38 AM","Lisa Hiles"
3460,"East Cobb/Roswell","2025-10-02",425,420,"Indian Hills: 219; Becky's Group: 201",845,"10/2/2025, 5:11:14 PM","Vicki Tropauer"
3453,"Sandy Springs/Chastain","2025-10-02",323,0,"",323,"10/2/2025, 7:59:30 AM","Jen Cohen"
3454,"Dacula","2025-10-01",60,61,"Dacula HS Key Club: 61",121,"10/2/2025, 9:01:53 AM","Veronica Pennington"
3462,"Flowery Branch","2025-10-01",49,373,"Flowery Branch Honor Society: 213; Church of Jesus Christ of Latter Day Saints: 58; The Retreat: 58; Empty Nesters: 44",422,"10/6/2025, 3:44:17 PM","Kristina McCarthney"
3456,"Groups","2025-10-01",0,1970,"Cox Media: 170; Swift school: 350; Westminster MS Football: 450; Roswell Prebyterian Church (Alpha Phi Alpha): 1000",1970,"10/2/2025, 11:18:09 AM","Christine Cooper Nowicki"
3459,"Groups","2025-09-30",0,400,"The National Christian Foundation: 200; Holy Innocents Episcopal School: 200",400,"10/2/2025, 11:23:06 AM","Christine Cooper Nowicki"
3458,"Groups","2025-09-29",0,500,"MCIC Vermont: 500",500,"10/2/2025, 11:21:21 AM","Christine Cooper Nowicki"
3457,"Groups","2025-09-28",0,238,"Emory STD sorority: 238",238,"10/2/2025, 11:20:36 AM","Christine Cooper Nowicki"
3393,"Dunwoody/PTC","2025-09-26",0,500,"Marist School, 9th Grade Retreat: 500",500,"9/29/2025, 4:50:08 PM","Lisa Hiles"
3385,"Sandy Springs/Chastain","2025-09-25",508,0,"",508,"9/25/2025, 8:24:22 AM","Jen Cohen"
3392,"Dunwoody/PTC","2025-09-25",963,950,"Lion's Club/Elevance Health: 950",1913,"9/29/2025, 4:49:10 PM","Lisa Hiles"
3451,"Groups","2025-09-25",0,300,"Logic Speak: 300",300,"10/1/2025, 5:50:11 PM","Katie Long"
3452,"Groups","2025-09-25",0,297,"Pope High School Volleyball: 297",297,"10/1/2025, 5:50:41 PM","Katie Long"
3390,"Collective Learning","2025-09-24",300,0,"",300,"9/28/2025, 1:20:56 AM","Katie (Admin) Long"
