"id","name","alternate_names","addresses","domains","total_events","last_event_date","created_at","updated_at","category","school_classification","is_religious","department"
"2","Comcast",,,,"1","2024-11-20 00:00:00","2025-10-25 00:10:36.203207","2025-10-25 00:10:36.203207","large_corp",,"false",
"3","Informal Friends Group",,,,"1","2024-07-31 00:00:00","2025-10-25 00:10:36.413039","2025-10-25 00:20:35.291","large_corp",,"false",
"4","Jack and Jill 2nd Grade",,,,"1","2023-11-19 00:00:00","2025-10-25 00:10:36.615238","2025-10-25 00:10:36.615238","youth_civic",,"false",
"5","D&Y Staffing",,,,"1","2023-08-09 00:00:00","2025-10-25 00:10:36.812301","2025-10-25 00:10:36.812301","midsize_corp",,"false",
"6","Mt. Bethel Christian Academy",,,,"2","2024-04-21 00:00:00","2025-10-25 00:10:37.00905","2025-10-25 00:20:35.491","school","private","true",
"7","Merill Lynch",,,,"1","2025-07-16 00:00:00","2025-10-25 00:10:37.209013","2025-10-25 00:10:37.209013","large_corp",,"false",
"8","The City Church",,,,"1","2025-07-01 00:00:00","2025-10-25 00:10:37.403911","2025-10-25 00:20:35.558","church",,"true",
"9","Alaina's Kindness",,,,"2","2022-06-26 00:00:00","2025-10-25 00:10:37.599298","2025-10-25 00:10:37.599298",,,"false",
"10","Mom and kids group in Sandy Springs",,,,"1","2023-01-16 00:00:00","2025-10-25 00:10:37.795532","2025-10-25 00:20:35.624","small_group",,"false",
"11","Four Seasons Hotel",,,,"2","2024-07-20 00:00:00","2025-10-25 00:10:37.990404","2025-10-25 00:10:37.990404","large_corp",,"false",
"12","Savant Wealth Management",,,,"1","2023-08-21 00:00:00","2025-10-25 00:10:38.186218","2025-10-25 00:10:38.186218","large_corp",,"false",
"13","TEST",,,,"2","2025-10-25 00:00:00","2025-10-25 00:10:38.38311","2025-10-25 00:10:38.38311",,,"false",
"14","Scout Troop",,,,"1","2023-11-12 00:00:00","2025-10-25 00:10:38.585416","2025-10-25 00:10:38.585416","youth_civic",,"false",
"15","Sandy Springs Christian Church",,,,"1","2023-10-22 00:00:00","2025-10-25 00:10:38.782535","2025-10-25 00:20:35.69","church",,"true",
"16","Taylor Arnold Birthday Service Project",,,,"1","2025-10-25 00:00:00","2025-10-25 00:10:38.978079","2025-10-25 00:10:38.978079",,,"false",
"17","St. John Paul Church of Cumming",,,,"1","2023-02-19 00:00:00","2025-10-25 00:10:39.17365","2025-10-25 00:20:35.757","church",,"true",
"18","St Pius X Middle School Wrestling Team",,,,"1","2023-11-27 00:00:00","2025-10-25 00:10:39.36982","2025-10-25 00:20:35.823","school","private","true",
"19","Atlas Collaborative",,,,"1","2023-02-14 00:00:00","2025-10-25 00:10:39.567447","2025-10-25 00:10:39.567447","small_corp",,"false",
"20","Carr, Riggs and Ingram",,,,"1","2023-05-24 00:00:00","2025-10-25 00:10:39.763097","2025-10-25 00:10:39.763097","large_corp",,"false",
"21","Guidehouse",,,,"4","2025-10-30 00:00:00","2025-10-25 00:10:39.956856","2025-10-25 00:10:39.956856",,,"false",
"22","CentricsIT",,,,"2","2024-07-25 00:00:00","2025-10-25 00:10:40.154411","2025-10-25 00:10:40.154411",,,"false",
"23","Adina's Bat Mitzvah Project",,,,"1","2025-11-09 12:00:00","2025-10-25 00:10:40.349306","2025-10-25 00:10:40.349306",,,"false",
"24","Newell Brands",,,,"1","2023-11-28 00:00:00","2025-10-25 00:10:40.546197","2025-10-25 00:10:40.546197","large_corp",,"false",
"25","Julia K. Neal No. 582, OES-PHA",,,,"1","2022-11-19 00:00:00","2025-10-25 00:10:40.740234","2025-10-25 00:10:40.740234",,,"false",
"26","Home Depot",,,,"1","2025-01-30 00:00:00","2025-10-25 00:10:40.937286","2025-10-25 00:10:40.937286","large_corp",,"false",
"27","Navigators Chapter 444",,,,"1","2025-12-08 00:00:00","2025-10-25 00:10:41.132039","2025-10-25 00:10:41.132039",,,"false",
"28","St. Pius X High School Students",,,,"1","2022-06-14 00:00:00","2025-10-25 00:10:41.326979","2025-10-25 00:10:41.326979","school","private","true",
"29","Frederick Swanston",,,,"1","2024-11-06 00:00:00","2025-10-25 00:10:41.524268","2025-10-25 00:10:41.524268","small_corp",,"false",
"30","GS Troop Mom and her friends",,,,"1","2023-01-29 00:00:00","2025-10-25 00:10:41.720979","2025-10-25 00:10:41.720979","youth_civic",,"false",
"31","Cub Scouts",,,,"7","2025-02-09 00:00:00","2025-10-25 00:10:41.915338","2025-10-25 00:10:41.915338","youth_civic",,"false",
"32","King & Spalding LLP",,,,"1","2023-11-15 00:00:00","2025-10-25 00:10:42.117688","2025-10-25 00:10:42.117688",,,"false",
"33","Ryan Tax Firm",,,,"1","2024-11-12 00:00:00","2025-10-25 00:10:42.312784","2025-10-25 00:10:42.312784",,,"false",
"34","Girl Scouts troop (5th grade)",,,,"1","2025-11-09 00:00:00","2025-10-25 00:10:42.508588","2025-10-25 00:20:35.89","club",,"false",
"35","Wellstar",,,,"2","2025-07-11 00:00:00","2025-10-25 00:10:42.703053","2025-10-25 00:10:42.703053","large_corp",,"false",
"36","Mt. Bethel Elementary",,,,"1","2023-01-25 00:00:00","2025-10-25 00:10:42.900793","2025-10-25 00:20:35.956","school","public","false",
"37","Allstate",,,,"1","2023-05-23 00:00:00","2025-10-25 00:10:43.095522","2025-10-25 00:10:43.095522","large_corp",,"false",
"38","Grace Resurrection Church",,,,"1","2024-09-21 00:00:00","2025-10-25 00:10:43.300206","2025-10-25 00:20:36.028","church",,"true",
"39","SS Baseball Team",,,,"1","2024-11-17 00:00:00","2025-10-25 00:10:43.498942","2025-10-25 00:10:43.498942","youth_sports",,"false",
"40","B'nai Torah",,,,"1","2023-01-16 00:00:00","2025-10-25 00:10:43.693514","2025-10-25 00:10:43.693514","faith_jewish",,"false",
"41","King & Spalding",,,,"2","2023-10-18 00:00:00","2025-10-25 00:10:43.887891","2025-10-25 00:10:43.887891",,,"false",
"42","Morningside Elementary School",,,,"2","2025-12-04 00:00:00","2025-10-25 00:10:44.08343","2025-10-25 00:20:36.095","school","public","false",
"43","The Coca-Cola Company",,,,"1","2025-02-24 00:00:00","2025-10-25 00:10:44.278944","2025-10-25 00:20:36.161","large_corp",,"false",
