Event ID,Organization Name,First Assigned Date/Time (UTC),First Assigned Date/Time (EST)
547529,Back in Atlanta from CT and trying to get my kids friends together!,2025-11-10 18:09:13 UTC,2025-11-10 13:09:13 EST
542755,Love Your Life Counseling,2025-11-10 18:08:37 UTC,2025-11-10 13:08:37 EST
509503,Inner art expressions,2025-11-10 03:20:47 UTC,2025-11-09 22:20:47 EST
530251,Roswell High School Girls Soccer,2025-11-10 03:20:31 UTC,2025-11-09 22:20:31 EST
422953,Roswell Empowered,2025-11-06 18:12:55 UTC,2025-11-06 13:12:55 EST
403755,Village Autism Center,2025-11-05 21:41:21 UTC,2025-11-05 16:41:21 EST
306882,Southside Church,2025-11-03 17:22:54 UTC,2025-11-03 12:22:54 EST
321822,Mill Springs,2025-11-03 17:22:43 UTC,2025-11-03 12:22:43 EST
243652,N/A,2025-10-31 20:09:30 UTC,2025-10-31 15:09:30 EST
212909,Widows Who Wine,2025-10-31 19:06:29 UTC,2025-10-31 14:06:29 EST
205649,Preschoolers day off doing mitzvah project,2025-10-30 20:10:59 UTC,2025-10-30 15:10:59 EST
211218,NOrth Decatur Presbyterian Church,2025-10-30 20:10:43 UTC,2025-10-30 15:10:43 EST
190424,FirstKey Homes,2025-10-30 13:37:23 UTC,2025-10-30 08:37:23 EST
173217,Honeysuckle Bakes,2025-10-29 21:08:17 UTC,2025-10-29 16:08:17 EST
165632,Hopewell Middle School,2025-10-29 15:15:22 UTC,2025-10-29 10:15:22 EST
154510,Dutton family,2025-10-29 03:11:19 UTC,2025-10-28 22:11:19 EST
160420,Hopewell baseball,2025-10-29 03:10:47 UTC,2025-10-28 22:10:47 EST
136134,Girl scout troop,2025-10-28 15:51:22 UTC,2025-10-28 10:51:22 EST
130866,"Girl Scout troops 24188, 22345",2025-10-27 15:50:49 UTC,2025-10-27 10:50:49 EST
118115,St. Pius X student project,2025-10-27 15:15:40 UTC,2025-10-27 10:15:40 EST
55606,Global Leadership Academy-Gwinnett Beta Club,2025-10-23 19:28:19 UTC,2025-10-23 14:28:19 EST
42443,Sacred Friends,2025-10-23 14:30:09 UTC,2025-10-23 09:30:09 EST
